voice_file,wav_path,duration_sec,reason,text
MAY_0011.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0011.wav,0.475,too_short,うん。
MAY_0015.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0015.wav,0.683,too_short,うん?
MAY_0036.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0036.wav,0.544,too_short,え。
MAY_0090.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0090.wav,0.460,too_short,うん。
MAY_0130.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0130.wav,0.776,too_short,おや。
MAY_0134.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0134.wav,0.648,too_short,えっ。
MAY_0157.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0157.wav,0.901,too_short,なに。
MAY_0178.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0178.wav,0.688,too_short,おへ。
MAY_0190.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0190.wav,0.971,too_short,いいよ。
MAY_0220.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0220.wav,12.459,too_long,えっとつまりねお父さんのレトロ PC コレクションの一つを神社に奉納したことがあるんだってその PC に似てるって言ってたよ。
MAY_0285.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0285.wav,13.312,too_long,シャワーならここにもあるよ。バスタブはないんだけどね。シャワー室っていうのかな。オカリはいつもそこを使ってるよね。
MAY_0288.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0288.wav,14.816,too_long,ねえねえオカリ前から不思議だったんだけどねご飯食べながらどうして炭酸ジュース飲めるのその組み合わせって美味しいのかな。
MAY_0320.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0320.wav,12.096,too_long,おかりんおかりんあのねマユシはよくわかんないんだけど過去を変えるって何をどう変えるの?
MAY_0325.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0325.wav,0.896,too_short,うん?
MAY_0343.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0343.wav,12.011,too_long,うん、急に電話レンジちゃんのところに歩いて行ったかと思ったら、携帯を取り出してね、すごくはあはあ言い始めて。
MAY_0351.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0351.wav,12.363,too_long,本当良かった。でね、現金だから、もっと世界が平和になりますようにみたいなのにしようよ。
MAY_0363.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0363.wav,16.683,too_long,そっか。あのね、何か悩みがあったらまゆしんに相談するんだよ。まゆしんはね、難しい話はよくわかんないけど、おかりんのことはよくわかってるもん。
MAY_0391.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0391.wav,13.272,too_long,今日もね自動販売機の前で十分くらい迷っちゃったんだよ。おでん缶にしようかなラーメン缶にしようかなって。
MAY_0396.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0396.wav,0.688,too_short,お母か。
MAY_0417.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0417.wav,0.584,too_short,うん?
MAY_0418.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0418.wav,0.912,too_short,うん。
MAY_0419.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0419.wav,12.560,too_long,でもねこの場所ってとっても便利だよね。マユシーもお父さんお母さんが許してくれるならここに泊まりたいよ。
MAY_0440.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0440.wav,12.949,too_long,でもね、ルカ君をラボメンにするなら、マユシーはオカリに一つ条件があるので、ルカ君をいじめないことっていう条件。
MAY_0459.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0459.wav,14.816,too_long,マユシの願い事はね、美味しい物をお腹いっぱい食べることと、ウーパグッズでラボを埋め尽くすことと、ルカ君にコスを着てもらうこと。
MAY_0480.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0480.wav,13.792,too_long,違うよ。それだけ肉肉って連呼されたらね、逆にお肉見るのも嫌になって、野菜を食べようって気になるかもしれないよ。
MAY_0499.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0499.wav,0.960,too_short,うん?
MAY_0513.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0513.wav,0.875,too_short,これ。
MAY_0514.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0514.wav,0.544,too_short,いら。
MAY_0515.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0515.wav,12.139,too_long,クリスちゃん、あのね、オカリンの幼なじみとして教えてあげると、オカリンのしゃべり方はね、そのうち慣れちゃうよ。
MAY_0552.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0552.wav,12.715,too_long,マユシもね、フェリスちゃんのファンだよ。フェリスちゃんのメイドさん魂はとってもすごいんだもん。憧れちゃうよ。
MAY_0553.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0553.wav,14.816,too_long,あのね、マユシイたちのサークルの仲間になるっていうことだよ。マユシイ的にはね、メリーちゃんがラブ面になってくれるのはとっても嬉しいな。
MAY_0554.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0554.wav,14.912,too_long,あわわ、どうしよう。まゆしは血のめい薬も猟薬も飲んでないよ。ということはまゆしはラブめんじゃないのかな。
MAY_0556.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0556.wav,0.725,too_short,いや。
MAY_0559.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0559.wav,0.853,too_short,へえ。
MAY_0560.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0560.wav,0.651,too_short,ああ。
MAY_0568.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0568.wav,14.411,too_long,ね、ねえ、いって、その、できれば二点三点くらい待ってほしいにゃん。だめかにゃん。
MAY_0571.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0571.wav,0.875,too_short,パパ。
MAY_0578.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0578.wav,12.286,too_long,えーごめんねでもね中野に行かなきゃって考えてたらねそのことで頭がいっぱいになっちゃったのです。
MAY_0580.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0580.wav,12.336,too_long,うんうん、でもね、エシィさんはこうがゆいさんなんだよ。まゆしいは久々に本気出さなきゃって思って。
MAY_0591.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0591.wav,13.390,too_long,昨日ね中野に同人誌を買いに行くって言ったでしょ。その時にねとっても可愛いレイヤーさんの同人写真集を見つけたんだ。
MAY_0593.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0593.wav,12.368,too_long,ほら見てるかちゃん。これブラチューのセドナコスだよ。作り込みすっごいなあ。すごく可愛いよね。
MAY_0595.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0595.wav,13.392,too_long,わあ次のページからは水着だあすごい露出度高いなスタイルもすごくいいしグラビアアイドルみたい。
MAY_0599.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0599.wav,15.992,too_long,そうだ!小見間が終わったら一緒に海に遊びに行こうよ。せっかく夏なんだしね。まゆしいもずっとこす作りしてて、夏休みはちっとも遊べてないもん。
MAY_0606.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0606.wav,13.512,too_long,それよりもどんな結果になっても温かく迎えてあげようよ。そのためにもね、まゆしは買い出しを張り切っちゃうつもりです。
MAY_0611.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0611.wav,0.976,too_short,うん。
MAY_0618.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0618.wav,16.970,too_long,マヨシはね、オカリを追いかけて、たくさんたくさんたくさんの世界線のすべてのオカリを探し続けてきたのです。
MAY_0623.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0623.wav,13.024,too_long,きっと七千万年後の秋葉原にいるオカリナとマユシマで意思は連続していくんだって思うな。
MAY_0633.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0633.wav,13.424,too_long,うんうん。あとね、I B M の五千百はまだ見つかってないんだって。もし見つかったらまた連絡するにゃんって言ってたよ。
MAY_0653.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0653.wav,0.952,too_short,いるだけ。
MAY_0662.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0662.wav,16.683,too_long,えっと、例えば作りかけのコスを持って一週間前へ行ける。ゴミママでの時間を一週間分稼げて、マユシ大勝利みたいなこと。
MAY_0668.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0668.wav,16.192,too_long,マユシが一週間前に記憶をビュンって飛ばしても、オカリナはここにいるんだよね。オカリナから見ると意識が飛んでったマユシはどうなっちゃってるのかな。
MAY_0669.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0669.wav,14.080,too_long,じゃあタイムリープする前の最初の一週間を過ごしたまゆしーはタイムリープしてその一週間を繰り返したまゆしーに消されちゃうの?
MAY_0671.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0671.wav,15.029,too_long,もしも一週間前に戻ったまゆしいが一週間後の今日ラボには来なくて学校のお友達と池袋で遊ぶことにしたらどうなるのかな。
MAY_0682.OGG,/home/steinsgate/projects/mayuri_voice/data/raw/wav/MAY_0682.wav,14.571,too_long,おばあちゃんの言葉とかね、笑顔とか、まゆしいの頭を撫でてくれたシワシワの手とかね、まゆしいは今でもちゃんと覚えてるもん。
