emotion,rank,sample_id,wav_path,duration_sec,reference_score,intensity,text,reason
embarrassed,1,MAY_0719,data/raw/wav/MAY_0719.wav,7.083,5,4,そういうことされるとね、マユシエは悲しいし恥ずかしいです。,明确表达害羞与悲伤，文本完整，时长合适。
embarrassed,2,MAY_0170,data/raw/wav/MAY_0170.wav,6.056,4,3,あううん違うよお昼ご飯を買ってこようかと思って。,语气带有慌乱与解释感，情绪层次清晰，时长适中，适合参考。
embarrassed,3,MAY_0030,data/raw/wav/MAY_0030.wav,5.24,4,2,だから占いってばマユシの名前書いちゃったし。,时长合适，句子完整，带有轻微懊恼或不好意思的情绪。
excited,1,MAY_0213,data/raw/wav/MAY_0213.wav,4.661,5,4,わー あかりすごいね。,感叹词开头，赞美语气强烈，情感鲜明且时长适中。
excited,2,MAY_0281,data/raw/wav/MAY_0281.wav,4.208,5,4,わああああ!オカリナ太っ腹だね!,情绪饱满明确，句子完整，时长适中。
excited,3,MAY_0279,data/raw/wav/MAY_0279.wav,5.04,5,4,じゃあさじゃあさもっとじゃんじゃん送ってみようよ。,情绪饱满积极，句式完整且富有号召力，时长完美。
excited,4,MAY_0913,data/raw/wav/MAY_0913.wav,5.112,5,4,わあオカリこんな大金どうするの。,感叹词开头情绪饱满明确，句子完整，时长合适。
excited,5,MAY_1428,data/raw/wav/MAY_1428.wav,5.296,5,4,でもねラボだってすっごく熱いよ。,情绪积极饱满，表达完整，时长标准，非常适合作参考。
gentle,1,MAY_1410,data/raw/wav/MAY_1410.wav,3.904,5,4,ずっと大好きでいさせてください。,情感饱满且句式完整独立，时长极佳，非常适合作为推理参考。
gentle,2,MAY_1483,data/raw/wav/MAY_1483.wav,4.448,5,3,元気出してほしいよ。,时长适中，语义完整，鼓励语气明确，非常适合作为参考。
gentle,3,MAY_1070,data/raw/wav/MAY_1070.wav,4.384,5,3,どうしたの?あっおかりんもバナナ食べる?,句子完整自然，情绪温和关切，时长非常适合作为参考。
gentle,4,MAY_0838,data/raw/wav/MAY_0838.wav,4.736,5,3,お帰り。そんなに急いでどこいくの?,日常问候与疑问结合，文本完整自然，情感清晰，非常适合作为交互参考。
gentle,5,MAY_1311,data/raw/wav/MAY_1311.wav,4.795,5,3,このままずっと続いてほしいなって思ってた。,句子完整独立，情感温和明确，时长适中，极适合作参考。
