voice_file,asr_text
MAY_0000.OGG,ねえねえ何ブツブツ言ってるの。
MAY_0001.OGG,おかりん、ねえってば。
MAY_0002.OGG,誰かと電話中。
MAY_0003.OGG,さっき携帯で誰と話してたの。
MAY_0004.OGG,あそうなんだオカリありがとう。
MAY_0005.OGG,それよりオカリオカリ。
MAY_0006.OGG,へえでも昔からそう呼んでたよ。
MAY_0007.OGG,だって難しくて覚えられないし。
MAY_0008.OGG,あそれに岡部凛太郎と一文字も合ってないよ。おかしいね。
MAY_0009.OGG,でね、オカリ、えっと、教えてほしいんだけど。
MAY_0010.OGG,これからここで何が始まるの。
MAY_0011.OGG,うん。
MAY_0012.OGG,記者会見？でも記者さんなんて見当たらない気がするよ。
MAY_0013.OGG,うん……巻き巻きトカゲ？あ、あそれを言うなら襟巻きトカゲだね。へへ。
MAY_0014.OGG,地震かな。震度二？あ、マグニチュード二？震度とマグニチュードってどう違うんだっけ？
MAY_0015.OGG,うん？
MAY_0016.OGG,あのねウーパが欲しいなって。
MAY_0017.OGG,でもねマユシは今百円玉を切らしちゃっているのです。
MAY_0018.OGG,だからオカリオカリ百円貸して。
MAY_0019.OGG,ああああ。
MAY_0020.OGG,ああウーパだよしかもメタルメタルウーパ。
MAY_0021.OGG,すごく。
MAY_0022.OGG,本当いいの、ヒカリ。
MAY_0023.OGG,へえありがとうカリー。
MAY_0024.OGG,ああ待って待って名前書かなくちゃ。
MAY_0025.OGG,タイムマシンあの人が作ったの。
MAY_0026.OGG,あっお帰りメタルーパがいなくなっちゃった。
MAY_0027.OGG,落としたみたい。
MAY_0028.OGG,あたりっこないよ。だってね、メタルーパはネットオークションで一万円近いプレミアがついてるんだよ。
MAY_0029.OGG,わかんないから探してるんだよ。あと見つけても売らないからね。
MAY_0030.OGG,だから占いってばマユシの名前書いちゃったし。
MAY_0031.OGG,トゥトゥルウーパさんウーパさん出ておいで。
MAY_0032.OGG,お帰りもね。
MAY_0033.OGG,夢かな。
MAY_0034.OGG,オカリどうしたの？
MAY_0035.OGG,ねえねえ何があったの顔色すごく悪いけど。
MAY_0036.OGG,え。
MAY_0037.OGG,そうなんだ。悪いことしちゃだめなんだよ、オカリン。
MAY_0038.OGG,おかりんおかりんそこはラボメンって言わなきゃ所属研究員じゃなくて。
MAY_0039.OGG,おかりんって呼び方の方が可愛いのに。
MAY_0040.OGG,ってってれえマユシーです。着るんじゃなくて作るのが趣味だよ。
MAY_0041.OGG,あ今その人ニヤリって笑った。
MAY_0042.OGG,通じないんじゃないかな。
MAY_0043.OGG,その人にしてみたらまゆしいたちがゲームみたいに見えてるのかな。
MAY_0044.OGG,うんじゃあダルくんの大好きな二次元の女の子たちもそうなの。
MAY_0045.OGG,はあ針指に刺さった。
MAY_0046.OGG,マユシはオカリナの人質だからここにいようと思います。
MAY_0047.OGG,きっとねアルパカさんが怒っちゃったんだよ。
MAY_0048.OGG,どうかした。
MAY_0049.OGG,うん？
MAY_0050.OGG,わあああ。
MAY_0051.OGG,見てない。
MAY_0052.OGG,歩いてたかな。
MAY_0053.OGG,うんそれは仕方ないと思うよ。
MAY_0054.OGG,とにかくね、最初からこの辺には誰もいなかったよ。ああ、あそっか、オカリは幻を見てたんだね。
MAY_0055.OGG,きっとこの暑さのせいだよ。トゥッテル。
MAY_0056.OGG,わあびっくりしたね。
MAY_0057.OGG,ドカーンってすっごい音がしたもん。
MAY_0058.OGG,来たのかな宇宙人さん乗ってるのかな。
MAY_0059.OGG,あっごめんなさい。
MAY_0060.OGG,おかリンは本当にドクターペッパーさんが大好きだよね。
MAY_0061.OGG,またゲルバナ作るの。
MAY_0062.OGG,だってねゲルバナはゲルバナだもん。
MAY_0063.OGG,なんでいつもいつも一房まるごと入れるの もったいないよ。
MAY_0064.OGG,勝たなくてもいいよ。あのね、バナナはマユシーが買ってきてるんだからね。おかげでマユシーはちっともバナナが食べられません。
MAY_0065.OGG,R E N G こちらは電話レンジ かっこかりです。
MAY_0066.OGG,マユシの声聞こえてきた。
MAY_0067.OGG,こちらからタイマー操作ができます。
MAY_0068.OGG,シャープボタンを押した後、温めたい秒数をプッシュしてください。
MAY_0069.OGG,例えば一分ならシャープ六零。
MAY_0070.OGG,二分ならシャープ一二零です。
MAY_0071.OGG,ゲル花のできあがりー。
MAY_0072.OGG,なんかねゲルバナは中身がデロデロでブニュブニュだったよ。
MAY_0073.OGG,味もしないし全然美味しくなかった。
MAY_0074.OGG,だるくんだるくん鼻血出てる。
MAY_0075.OGG,あなたのバナナ分乳部。
MAY_0076.OGG,冷凍の逆なら解凍じゃないのかな。
MAY_0077.OGG,じゃあどういうこと。
MAY_0078.OGG,あれれ？おかりんだ。出てる。
MAY_0079.OGG,ああアキバの武器屋本舗で買ったやつでしょ九百八十円だっけ。
