sample_id,wav_path,text,language,duration_sec,primary_emotion,secondary_emotions,intensity,reference_score,is_reference_candidate,reason,notes
MAY_0000,data/raw/wav/MAY_0000.wav,ねえねえ何ブツブツ言ってるの。,ja,3.584,teasing,,2,4,True,文本完整，带有轻微调侃语气，时长适中，适合作为参考。,
MAY_0001,data/raw/wav/MAY_0001.wav,おかりん、ねえってば。,ja,3.44,teasing,,2,3,True,呼唤特定昵称，语气略带撒娇或催促，时长合适，但略有上下文依赖。,
MAY_0002,data/raw/wav/MAY_0002.wav,誰かと電話中。,ja,1.621,neutral,,1,2,False,时长明显过短，且文本偏向旁白或状态描述，缺乏完整对话语境。,
MAY_0003,data/raw/wav/MAY_0003.wav,さっき携帯で誰と話してたの。,ja,3.365,serious,,2,4,True,疑问句结构完整，语气明确，时长适中，适合单句参考。,
MAY_0004,data/raw/wav/MAY_0004.wav,あそうなんだオカリありがとう。,ja,3.909,gentle,,2,4,True,表达感谢与回应，语气温和自然，时长合适，适合作为参考。,
MAY_0005,data/raw/wav/MAY_0005.wav,それよりオカリオカリ。,ja,2.267,teasing,neutral,2,3,True,文本完整，带有转换话题的轻松语气，时长合适。,“それより”略带上下文依赖，但单句发音清晰可用。
MAY_0006,data/raw/wav/MAY_0006.wav,へえでも昔からそう呼んでたよ。,ja,3.477,neutral,gentle,2,4,True,句子完整独立，语气自然平和，时长适中，适合作为参考。,
MAY_0007,data/raw/wav/MAY_0007.wav,だって難しくて覚えられないし。,ja,3.424,neutral,gentle,2,3,True,语气自然，但带有因果连接词，略有上下文依赖，整体仍可用。,“だって”开头需结合前文理解，但单句结构完整。
MAY_0008,data/raw/wav/MAY_0008.wav,あそれに岡部凛太郎と一文字も合ってないよ。おかしいね。,ja,7.536,teasing,happy,3,4,True,语义完整，带有轻微调侃与疑惑语气，时长在合理区间内。,双句组合信息量适中，情绪表达明确。
MAY_0009,data/raw/wav/MAY_0009.wav,でね、オカリ、えっと、教えてほしいんだけど。,ja,4.619,gentle,neutral,2,4,True,包含自然停顿与请求语气，情感明确，时长合适，适合参考。,口语化填充词较多，但符合真实对话特征。
MAY_0010,data/raw/wav/MAY_0010.wav,これからここで何が始まるの。,ja,3.04,neutral,worried,2,4,True,句子完整，带有轻微的好奇与期待，时长适中，适合作为参考。,
MAY_0012,data/raw/wav/MAY_0012.wav,記者会見?でも記者さんなんて見当たらない気がするよ。,ja,6.384,neutral,worried,2,4,True,语义完整，带有疑惑语气，时长合适，适合单句参考。,
MAY_0013,data/raw/wav/MAY_0013.wav,うん......巻き巻きトカゲ?あ、あそれを言うなら襟巻きトカゲだね。へへ。,ja,8.757,happy,"teasing,embarrassed",3,3,False,带有自言自语和轻笑，情绪明确但时长略超上限，含自我修正。,时长8.7秒略长，需注意断句
MAY_0014,data/raw/wav/MAY_0014.wav,地震かな。震度二?あ、マグニチュード二?震度とマグニチュードってどう違うんだっけ?,ja,10.293,neutral,worried,2,2,False,时长明显过长，包含连续疑问与知识性探讨，上下文依赖较强。,多句拼接感强，不适合作为单句基准
MAY_0016,data/raw/wav/MAY_0016.wav,あのねウーパが欲しいなって。,ja,3.669,gentle,,2,5,True,语气柔和自然，表达明确愿望，时长完美，极适合作为参考。,
MAY_0017,data/raw/wav/MAY_0017.wav,でもねマユシは今百円玉を切らしちゃっているのです。,ja,5.515,gentle,neutral,2,4,True,句子完整，时长适中，语气偏向日常温和解释，适合作为参考。,
MAY_0018,data/raw/wav/MAY_0018.wav,だからオカリオカリ百円貸して。,ja,5.152,teasing,happy,3,4,True,带有俏皮请求语气，语义完整且时长符合标准，适合参考。,
